"","species","species_comp","type","species_comp_source","local_name_ST","local_name_PC","Family","FoodTroph","DietTroph","EstTroph"
"94","Pomadasys rogerii","Pomadasys rogerii","Teleost","FGDs, KIIs, Field observations","Roncador","Roncador","Haemulidae",3.55,NA,3.54999995231628
"95","Pontinus kuhlii","Pontinus kuhlii","Teleost","FGDs, KIIs, Field observations","Canga","Canga","Scorpaenidae",4.05,NA,4.05000019073486
"96","Priacanthus arenatus","Priacanthus arenatus","Teleost","FGDs, KIIs, Field observations","Vermelho sol de fundo","Vermelho sol de fundo","Priacanthidae",3.62,4.04,4.23000001907349
"97","Prionurus biafraensis","Prionurus biafraensis","Teleost","FGDs, KIIs, Field observations","Asno cota","Asno cota","Acanthuridae",NA,NA,2.3199999332428
"98","Pseudupeneus prayensis","Pseudupeneus prayensis","Teleost","FGDs, KIIs, Field observations","Sabonete vermelho","Sabonete vermelho","Mullidae",3.24,NA,3.24000000953674
"99","Pseudotolithus sp.","Pseudotolithus brachygnathus, Pseudotolithus senegallus, Pseudotolithus senegalensis","Teleost","FGDs, KIIs, Field observations","Roncador de fundo","Roncador de fundo","Sciaenidae",NA,NA,3.8400000333786
"100","Rypticus saponaceus","Rypticus saponaceus","Teleost","FGDs, KIIs, Field observations","Funhe","Funhe","Grammistidae",4,4.06,4.05999994277954
"101","Sardinella sp.","Sardinella maderensis, Sardinella aurita, Sardinella rouxi","Teleost","FGDs, KIIs, Field observations","Sardinha","Sardinha","Dorosomatidae",NA,NA,3.15666667620341
"102","Sargocentron hastatum","Sargocentron hastatum","Teleost","FGDs, KIIs, Field observations","Caqui de pedra","Caqui de pedra","Holocentridae",3.45,NA,3.45000004768372
"103","Scarus hoefleri","Scarus hoefleri","Teleost","FGDs, KIIs, Field observations","Bulhao papagaio","Bulhao papagaio","Scaridae",NA,NA,2
"104","Scomberomorus tritor","Scomberomorus tritor","Teleost","FGDs, KIIs, Field observations","Peixe serra","Peixe serra","Scombridae",4.26,4.42,4.42000007629395
"105","Scorpaena laevis","Scorpaena laevis","Teleost","FGDs, KIIs, Field observations","Comê molê","Come mole","Scorpaenidae",NA,NA,3.83999991416931
"106","Selar crumenophthalmus","Selar crumenophthalmus","Teleost","FGDs, KIIs, Field observations","Carapau","Carapau","Carangidae",3.57,3.81,3.80999994277954
"107","Selene dorsalis","Selene dorsalis","Teleost","FGDs, KIIs, Field observations","Pata pata","Pata pata","Carangidae",4.08,NA,4.07999992370605
"108","Sepia sp.","Sepia officinalis","Cephalopoda","FGDs, KIIs, Field observations","Choco","Choco","Sepiidae",4.27,3.71,4.27
"109","Seriola rivoliana","Seriola rivoliana","Teleost","FGDs, KIIs, Field observations","Peixe azeite","Peixe azeite","Carangidae",4.5,4.45,4.44999980926514
"110","Sparisoma choati","Sparisoma choati","Teleost","FGDs, KIIs, Field observations","Bulhão papagaio; Bulhão sequé","Bulhão papagaio","Scaridae",NA,NA,2
"111","Sparisoma rubripinne","Sparisoma rubripinne","Teleost","FGDs, KIIs, Field observations","Bulhão papagaio","Bulhão papagaio","Scaridae",2,2,2
"112","Sphyraena barracuda","Sphyraena barracuda","Teleost","FGDs, KIIs, Field observations","Barracuda","Barracuda","Sphyraenidae",4.5,4.49,4.48999977111816
"113","Sphyraena sphyraena","Sphyraena sphyraena","Teleost","FGDs, KIIs, Field observations","Alichote","Alichote","Sphyraenidae",4.04,NA,4.03999996185303
"114","Sphyrna sp.","Sphyrna lewini, Sphyrna couardi","Selachimorpha","FGDs, KIIs, Field observations","Tubarao martelo","Tubarao martelo","Sphyrnidae",NA,NA,4.28999996185303
"115","Sphyrna lewini","Sphyrna lewini","Selachimorpha","FGDs, KIIs, Field observations","Tubarao martelo","Tubarao martelo","Sphyrnidae",4.21000003814697,4.08,4.07999992370605
"116","Sphyrna couardi","Sphyrna couardi","Selachimorpha","FGDs, KIIs, Field observations","Tubarao martelo","Tubarao martelo","Sphyrnidae",4.5,NA,4.5
"117","Spicara sp.","Spicara melanurus, Spicara nigricauda","Teleost","FGDs, KIIs, Field observations","Mazebe","Dobrada","Sparidae",NA,NA,3.45500004291534
"118","Taeniurops grabatus","Taeniurops grabatus","Myliobatiformes","FGDs, KIIs, Field observations","Raia","Raia","Dasyatidae",4.02,NA,4.01999998092651
"119","Thalassoma newtoni","Thalassoma newtoni","Teleost","FGDs, KIIs, Field observations","Rainha","Rainha","Labridae",NA,NA,3.52999997138977
"120","Thunnus albacares","Thunnus albacares","Teleost","FGDs, KIIs, Field observations","Atum olede","Atum olede","Scombridae",4.48,4.41,4.40999984741211
"121","Thunnus obesus","Thunnus obesus","Teleost","FGDs, KIIs, Field observations","Atum","Atum","Scombridae",4.48,4.49,4.42000007629395
"122","Trachinotus goreensis","Trachinotus goreensis","Teleost","FGDs, KIIs, Field observations","Pata pata","Pata pata","Carangidae",NA,NA,3.65000009536743
"123","Trachinotus ovatus","Trachinotus ovatus","Teleost","FGDs, KIIs, Field observations","Pata pata","Pata pata","Carangidae",3.73,NA,3.73000001907349
"124","Tylosurus sp.","Tylosurus rafale, Tylosurus crocodilus","Teleost","FGDs, KIIs, Field observations","Agulha quio","Agulha quio","Belonidae",NA,NA,4.24499988555908
"125","Umbrina cirrosa","Umbrina cirrosa","Teleost","FGDs, KIIs, Field observations","Barbudo fundo","Barbudo fundo","Sciaenidae",3.41,NA,3.41000008583069
"126","Uraspis secunda","Uraspis secunda","Teleost","FGDs, KIIs, Field observations","Osso mole","Osso mole","Carangidae",NA,NA,4
"127","Xyrichtys novacula","Xyrichtys novacula","Teleost","FGDs, KIIs, Field observations","Lainha","Lainha","Labridae",3.54,3.51,3.50999999046326
"128","Mobula cf. birostris","Mobula birostris, Mobula birostris","Myliobatiformes","Picture ID","Uzua manta","Marfim","Mobulidae",NA,NA,3.46000003814697
"129","Chelidonichthys gabonensis","Chelidonichthys gabonensis","Teleost","Picture ID",NA,NA,"Triglidae",NA,NA,3.64000010490417
"130","Bothus podas","Bothus podas","Teleost","Picture ID",NA,NA,"Bothidae",3.36999988555908,3.37,3.36999988555908
"131","Mugil cephalus","Mugil cephalus","Teleost","Picture ID","Tainha","Tainha","Mugilidae",2.48,NA,2.48000001907349
"132","Acanthostracion notacanthus","Acanthostracion notacanthus","Teleost","Picture ID","Impinho","Impinho","Ostraciidae",NA,NA,2.35999989509583
"133","Canthidermis maculata","Canthidermis maculata","Teleost","Picture ID","Asno pego","Asno pego","Balistidae",3.47,NA,3.47000002861023
"134","Antennarius multiocellatus","Antennarius multiocellatus","Teleost","Picture ID",NA,NA,"Antennariidae",4.05,4.32,4.32000017166138
"135","Holacanthus africanus","Holacanthus africanus","Teleost","Picture ID","Tchintchin","Tchintchin","Pomacanthidae",NA,NA,2.98000001907349
"136","Polymixia nobilis","Polymixia nobilis","Teleost","Picture ID","Barbudo de fundo","Barbudo de fundo","Polymixiidae",4.2,NA,4.19999980926514
"137","Lepidocybium flavobrunneum","Lepidocybium flavobrunneum","Teleost","Picture ID",NA,NA,"Gempylidae",4.34,NA,4.34000015258789
"138","Sphoeroides pachygaster","Sphoeroides pachygaster","Teleost","Picture ID","Coelho branco","Coelho branco","Tetraodontidae",4.2,NA,4.19999980926514
"139","Promethichthys prometheus","Promethichthys prometheus","Teleost","Picture ID",NA,NA,"Gempylidae",4.18,NA,4.17999982833862
"140","Zeus faber","Zeus faber","Teleost","Picture ID","Peixe galo","Peixe galo","Zeidae",4.23999977111816,4.5,4.5
"141","Naucrates ductor","Naucrates ductor","Teleost","Picture ID","Peixe piloto","Peixe piloto","Carangidae",3.41,NA,3.41000008583069
"142","Physiculus sp.","Physiculus huloti","Teleost","Picture ID",NA,NA,NA,NA,NA,NA
"143","Nealotus tripes","Nealotus tripes","Teleost","Picture ID",NA,NA,"Gempylidae",4.2,NA,4.19999980926514
"144","Psettodes belcheri","Psettodes belcheri","Teleost","Picture ID","Linguado preto","Linguado preto","Psettodidae",4.07,NA,4.07000017166138
"145","Trachinus lineolatus","Trachinus lineolatus","Teleost","Picture ID","Peixe lenha","Peixe lenha","Trachinidae",NA,NA,3.60999989509583
"146","Trachinus radiatus","Trachinus radiatus","Teleost","Picture ID","Lagartiça","Lagartiça","Trachinidae",NA,NA,3.97000002861023
"147","Elops lacerta","Elops lacerta","Teleost","Picture ID","Tainha Congo","Tainha Congo","Elopidae",4.24,NA,4.23999977111816
"148","Synodus synodus","Synodus synodus","Teleost","Picture ID","Peixe lenha","Peixe lenha","Synodontidae",4.2,NA,4.19999980926514
"149","Umbrina canariensis","Umbrina canariensis","Teleost","Picture ID","Sem nome local","Sem nome local","Sciaenidae",3.37,NA,3.36999988555908
"150","Carcharhinus altimus","Carcharhinus altimus","Selachimorpha","Picture ID",NA,NA,"Carcharhinidae",4.5,4.53,4.53000020980835
"151","Carcharhinus brachyurus","Carcharhinus brachyurus","Selachimorpha","Picture ID",NA,NA,"Carcharhinidae",4.5,4.5,4.32999992370605
"152","Carcharhinus brevipinna","Carcharhinus brevipinna","Selachimorpha","Picture ID",NA,NA,"Carcharhinidae",4.5,4.2,4.19999980926514
"153","Carcharhinus falciformis","Carcharhinus falciformis","Selachimorpha","Picture ID",NA,NA,"Carcharhinidae",4.48,4.51,4.34999990463257
"154","Carcharhinus leucas","Carcharhinus leucas","Selachimorpha","Picture ID",NA,NA,"Carcharhinidae",4.34,4.31,4.30999994277954
"155","Carcharhinus limbatus","Carcharhinus limbatus","Selachimorpha","Picture ID",NA,NA,"Carcharhinidae",4.46,4.37,4.36999988555908
"156","Carcharhinus obscurus","Carcharhinus obscurus","Selachimorpha","Picture ID",NA,NA,"Carcharhinidae",4.42,4.28,4.28000020980835
