"","ntrips_id","island","site","landing_site","ext_worker","date","worked_y.n","reason_not_fishing","other_reason","surface_gillnet","circular_net","purse_seine","surface_gillnet_seine","demersal_gillnet","spear_fishing","hook_line","hook_line_shore"
"119","uuid:e97a0b6e-749a-4146-928b-dd9c0223c76c","PC","AB","abade","judiciley","2020-10-30","sim",NA,NA,1,0,0,0,0,4,8,3
"120","uuid:d28291f2-07ca-4128-a8b1-57c668fd8ae3","PC","AB","abade","judiciley","2020-11-03","sim",NA,NA,0,0,0,0,0,4,7,0
"121","uuid:c5548dfa-5e3f-4b5f-b9b1-de0ecd55efd9","PC","AB","abade","judiciley","2020-11-06","sim",NA,NA,0,0,0,0,0,4,5,4
"122","uuid:55b4d1ff-d518-4dfb-9079-26f41746cef2","PC","AB","abade","judiciley","2020-11-10","sim",NA,NA,0,0,0,0,0,4,0,0
"123","uuid:3ce2aab2-7612-4888-a1af-2010a5cdfdbb","PC","AB","abade","judiciley","2020-11-13","sim",NA,NA,0,0,0,0,0,4,3,0
"124","uuid:5f991859-d174-4d13-a0ea-f4ffa3b1b8cb","PC","AB","abade","judiciley","2020-11-17","sim",NA,NA,0,0,0,0,0,0,1,0
"125","uuid:ab43ea89-be27-4bd6-8813-b43508a5b725","PC","AB","abade","judiciley","2020-11-20","sim",NA,NA,0,0,0,0,0,0,5,2
"126","uuid:3f229a18-c68e-431c-a9bb-4151bee77d10","PC","AB","abade","judiciley","2020-11-24","sim",NA,NA,0,0,0,0,0,4,1,0
"127","uuid:57a4c3e6-7cf5-4d7a-9d9d-17de69b2517a","PC","AB","abade","judiciley","2020-11-27","sim",NA,NA,0,0,0,0,0,0,3,4
"128","uuid:9de4caf6-693a-4bab-b8ee-51d5369446b9","PC","AB","abade","judiciley","2020-12-01","sim",NA,NA,0,0,0,0,0,0,1,0
"129","uuid:387544ee-4b1f-40c7-9c99-afb10756572a","PC","AB","abade","judiciley","2020-12-04","sim",NA,NA,0,0,0,0,0,0,4,0
"130","uuid:27ad24e9-3476-450e-957c-82b6ac3c0777","PC","AB","abade","judiciley","2020-12-08","sim",NA,NA,0,0,0,0,0,0,7,3
"131","uuid:f5ba570d-47fe-4e25-972a-fc1623cfe13f","PC","AB","abade","judiciley","2020-12-11","sim",NA,NA,0,0,0,0,0,0,8,1
"132","uuid:5b715917-572b-430e-81b8-9d8d5fa4cde6","PC","AB","abade","judiciley","2020-12-15","sim",NA,NA,0,0,0,0,0,0,7,0
"133","uuid:62ddb64c-7334-4818-a648-2ff6caf443d2","PC","AB","abade",NA,"2020-12-22","sim",NA,NA,0,0,0,0,0,0,4,0
"134","uuid:2044dab0-9ca8-40ce-b1da-a0e8caa65b79","PC","AB","abade","judiciley","2021-01-05","sim",NA,NA,0,0,0,0,0,0,4,0
"135","uuid:ab11f3bf-8840-4533-b0ab-254f1c1e2f9e","PC","AB","abade","judiciley","2021-01-08","sim",NA,NA,0,0,0,0,0,0,4,0
"136","uuid:d2be4cb3-793b-4952-a113-73081999dd3f","PC","AB","abade","judiciley","2021-01-12","nao-pesca","nao-combustvel",NA,0,0,0,0,0,0,0,0
"137","uuid:13a15bb5-88c0-4fe6-a0af-322382a292cb","PC","AB","abade","judiciley","2021-01-15","sim",NA,NA,0,0,0,0,0,0,4,0
"138","uuid:953339c8-6fc7-473b-ae26-e4929d17d43d","PC","AB","abade","judiciley","2021-01-19","sim",NA,NA,0,0,0,0,0,5,2,0
"139","uuid:8943cc48-85b0-46f4-a666-2b66c44ea9e2","PC","AB","abade","judiciley","2021-01-22","sim",NA,NA,0,0,0,0,0,0,5,0
"140","uuid:3957d46c-9302-4df0-bf4d-dea60bc04329","PC","AB","abade","judiciley","2021-01-26","sim",NA,NA,0,0,0,0,0,0,4,0
"141","uuid:a3ad6866-bfdd-4f5a-b611-569e194bca6a","PC","AB","abade","judiciley","2021-01-29","sim",NA,NA,0,0,0,0,0,0,5,0
"142","uuid:d6cae8ac-9651-42a5-bc49-cdbeb4321538","PC","AB","abade","judiciley","2021-02-02","nao-pesca","nao-combustvel",NA,0,0,0,0,0,0,0,0
"143","uuid:03d14e01-ba16-4901-b820-bac07979231a","PC","AB","abade","judiciley","2021-02-05","sim",NA,NA,2,0,0,0,0,2,3,0
"144","uuid:56e96151-2fd2-4326-adbe-a53570f88cca","PC","AB","abade","judiciley","2021-02-09","sim",NA,NA,0,0,0,0,0,3,3,0
"145","uuid:e4589598-cb88-47ff-83a7-4b9fc241f5b2","PC","AB","abade","judiciley","2021-02-12","sim",NA,NA,0,0,0,0,0,3,7,0
"146","uuid:9285a3bc-0e55-4e2b-a0a8-00ff7028afa8","PC","AB","abade","judiciley","2021-02-16","sim",NA,NA,0,0,0,0,0,3,0,0
"147","uuid:a227940c-f0ad-452e-9e03-3a2adb91e133","PC","AB","abade","judiciley","2021-02-19","nao-pesca","nao-combustvel, mal-tempo",NA,0,0,0,0,0,0,0,0
"148","uuid:23e0e459-f572-43b5-9019-af5694964c83","PC","AB","abade","judiciley","2021-02-23","sim",NA,NA,0,0,0,0,0,5,3,0
