CODE.ST,CODE.PC,type,species,species_comp,species_comp_source,local_name_ST,local_name_PC
VERMELHO-SANGUE,VERMELHO-SANGUE,Teleost,Erythrocles monodi,Erythrocles monodi,"FGDs, KIIs, Field observations",Vermelho sangue,Vermelho sangue
FULU-FULU-BATIDO,FULU-FULU-BATIDO,Teleost,Euthynnus alletteratus,Euthynnus alletteratus,"FGDs, KIIs, Field observations",Fulu fulu batido,Fulu fulu batido
PEIXE-VOADOR,PEIXE-VOADOR,Teleost,Exocetidae,"Exocoetus volitans, Cheilopogon melanurus","FGDs, KIIs, Field observations",Peixe voador,Peixe voador
VOADOR-PANHA,VOADOR-PANHA,Teleost,Exocetidae,"Exocoetus volitans, Cheilopogon melanurus","FGDs, KIIs, Field observations",Voador panhá,Voador panhá
AGULHA-BUZINA,AGULHA-BUZINA,Teleost,Fistularia tabacaria,Fistularia tabacaria,"FGDs, KIIs, Field observations",Agulha buzina,Agulha buzina
BARBUDO,BARBUDO,Teleost,Galeoides decadactylus,Galeoides decadactylus,"FGDs, KIIs, Field observations",Barbudo,Barbudo
TUBARAO-AREIA,TUBARAO-AREIA,Selachimorpha,Ginglymostoma cirratum,Ginglymostoma cirratum,"FGDs, KIIs, Field observations",Tubarao areia,Tubarao areia
BLONZE,BLONZE,Teleost,Grammonus longhursti,Grammonus longhursti,"FGDs, KIIs, Field observations",Blonze,Blonze
MOREIA-DE-TERRA,MOREIA-FULA,Teleost,Gymnothorax vicinus,Gymnothorax vicinus,"FGDs, KIIs, Field observations",Moreia-De terra,Moreia fula
MAXIPOMBO,MAXIPOMBO,Teleost,Hemiramphus balao,Hemiramphus balao,"FGDs, KIIs, Field observations",Maxipombo,Maxipombo
VERMELHO-SOL,VERMELHO-SOL,Teleost,Heteropriacanthus cruentatus,Heteropriacanthus cruentatus,"FGDs, KIIs, Field observations",Vermelho sol,Vermelho sol
CAQUI,CAQUI,Teleost,Holocentrus adscensionis,Holocentrus adscensionis,"FGDs, KIIs, Field observations",Caqui,Caqui
PEIXE-ANDALA,PEIXE-ANDALA,Teleost,Istiophorus albicans,Istiophorus albicans,"FGDs, KIIs, Field observations",Peixe andala,Peixe andala
SINTRA,SINTRA,Teleost,Katsuwonus pelamis,Katsuwonus pelamis,"FGDs, KIIs, Field observations",Sintra,Sintra
SOPA-DE-FUNDO,SOPA-DE-FUNDO,Teleost,Kyphosus sp.,"Kyphosus sectatrix, Kyphosus incisor","FGDs, KIIs, Field observations",Sopa,Sopa
SOPA,SOPA,Teleost,Kyphosus sp.,"Kyphosus sectatrix, Kyphosus incisor","FGDs, KIIs, Field observations",Sopa,Sopa
COELHO,COELHO,Teleost,Lagocephalus laevigatus,Lagocephalus laevigatus,"FGDs, KIIs, Field observations",Coelho,Coelho
BICA,BICA,Teleost,Lethrinus atlanticus,Lethrinus atlanticus,"FGDs, KIIs, Field observations",Bica,Bica
TCHINTCHIN-DE-FUNDO,TCHINTCHIN-DE-FUNDO,Teleost,Lobotes surinamensis,Lobotes surinamensis,"FGDs, KIIs, Field observations","Tchintchin de fundo, Tchintchin pego","Tchintchin de fundo, Tchintchin pego"
LAGOSTA,LAGOSTA,Crustacean,Crustacean,Lobster,"FGDs, KIIs, Field observations",Lagosta,Lagosta
CORVINA,CORVINA,Teleost,Lutjanus sp.,"Lutjanus agennes, Lutjanus dentatus, Lutjanus endecacanthus, Lutjanus goreensis","FGDs, KIIs, Field observations",Corvina,Corvina
CORVINA-PRETA,CORVINA-PRETA,Teleost,Lutjanus agennes,Lutjanus agennes,"FGDs, KIIs, Field observations",Corvina preta,Corvina preta
CORVINA-DE-RIO,CORVINA-DE-RIO,Teleost,Lutjanus dentatus,Lutjanus dentatus,"FGDs, KIIs, Field observations",Corvina de rio,Corvina de rio
